categoria,m1,m2,m3,m4,m5,m6,m7
circle,0.171339,0.00082675,1.77351e-07,7.34423e-08,-1.38153e-15,6.4877e-10,8.26713e-15
circle,0.180897,0.000826592,2.26288e-07,1.5287e-06,8.97637e-13,4.02449e-08,5.146e-14
circle,0.175083,0.00206372,3.73236e-07,8.90686e-09,4.26392e-16,1.15805e-10,2.86215e-16
circle,0.181781,0.00386359,1.87005e-07,9.12908e-08,-6.79933e-16,1.30697e-09,1.19086e-14
circle,0.179387,0.00128889,6.10793e-08,1.16242e-07,9.72594e-15,3.69346e-09,-1.15838e-15
circle,0.17256,0.000963378,7.31455e-08,2.14997e-08,-5.45361e-16,-4.051e-10,6.55363e-16
circle,0.174839,0.00131702,1.15469e-08,2.98751e-07,1.14397e-14,5.15534e-09,1.33049e-14
circle,0.181725,0.00241675,8.95718e-08,6.99082e-08,-9.03381e-16,2.86688e-09,5.45769e-15
circle,0.167319,5.49412e-06,2.0783e-08,1.91744e-09,6.81151e-18,-2.09955e-12,1.00057e-17
circle,0.178349,0.00227215,3.47949e-07,1.44542e-08,1.01643e-15,-1.83857e-10,-1.32715e-16
circle,0.16848,2.89721e-05,1.61774e-07,1.09945e-07,6.58395e-15,1.4927e-10,1.31015e-14
circle,0.177162,0.000966016,4.52603e-08,6.52684e-08,3.50775e-15,-2.99889e-10,5.29117e-16
circle,0.178858,0.00217343,2.22487e-07,7.10351e-07,2.40987e-13,3.31005e-08,1.4722e-13
circle,0.17419,0.00125291,1.82705e-07,2.15195e-07,-4.07527e-14,-4.28314e-09,1.2647e-14
circle,0.173905,2.60414e-07,6.39426e-09,3.34701e-08,-8.73422e-17,7.93872e-12,-4.81791e-16
circle,0.170862,8.76176e-05,5.38053e-08,2.54312e-07,8.2808e-15,-1.10234e-09,2.85726e-14
circle,0.172426,0.000455004,9.00695e-08,3.23784e-07,-4.03534e-14,-6.90066e-09,-3.78014e-14
circle,0.168069,7.33616e-05,1.57855e-07,1.61878e-08,6.16382e-16,4.52078e-11,5.38225e-16
circle,0.172312,0.000366225,6.96977e-08,1.1182e-06,-1.78271e-13,8.78812e-09,2.56258e-13
circle,0.172797,0.00113172,1.22498e-07,1.56224e-09,-1.79943e-17,-2.7168e-11,-1.19693e-17
circle,0.17598,0.00120727,5.58729e-08,1.4541e-08,3.90604e-16,2.54772e-10,1.38608e-16
circle,0.179516,2.01061e-06,1.62999e-07,2.41797e-07,-4.09619e-14,8.88757e-11,2.50285e-14
circle,0.168208,0.000115688,5.37912e-08,1.47854e-07,-7.09582e-15,-1.08407e-09,1.11137e-14
circle,0.167854,0.000247343,1.57872e-09,1.21344e-08,-5.24115e-17,-8.12767e-11,8.58836e-18
circle,0.176066,0.00309616,5.78516e-08,4.48722e-08,7.58692e-16,2.48288e-09,-2.15669e-15
circle,0.247045,0.0099905,8.96333e-06,2.94413e-05,4.72926e-10,2.77319e-06,-7.12789e-11
circle,0.183853,0.00457572,1.18193e-07,1.66155e-07,-1.12965e-15,3.64102e-09,2.32571e-14
circle,0.16829,0.000300324,8.63067e-09,1.03634e-08,9.695e-17,-1.55674e-10,1.43851e-17
