categoria,Z0_0_mag,Z0_0_phase,Z1_-1_mag,Z1_-1_phase,Z1_1_mag,Z1_1_phase,Z2_-2_mag,Z2_-2_phase,Z2_0_mag,Z2_0_phase,Z2_2_mag,Z2_2_phase,Z3_-3_mag,Z3_-3_phase,Z3_-1_mag,Z3_-1_phase,Z3_1_mag,Z3_1_phase,Z3_3_mag,Z3_3_phase,Z4_-4_mag,Z4_-4_phase,Z4_-2_mag,Z4_-2_phase,Z4_0_mag,Z4_0_phase,Z4_2_mag,Z4_2_phase,Z4_4_mag,Z4_4_phase
square,17314,0,79.3712,2.84619,79.3712,-2.84619,53.0736,0.0205817,40.0516,0,53.0736,-0.0205817,48.2336,-0.0567481,57.8667,0.209339,57.8667,-0.209339,48.2336,0.0567481,19.9919,2.8684,7.02235,1.34149,8.1046,3.14159,7.02235,-1.34149,19.9919,-2.8684
square,30179,0,214.982,-2.32908,214.982,2.32908,22.3487,2.8869,313.622,3.14159,22.3487,-2.8869,70.8438,2.64529,81.448,-2.70147,81.448,2.70147,70.8438,-2.64529,3.85227,1.80201,30.3608,-0.705317,24.9852,3.14159,30.3608,0.705317,3.85227,-1.80201
square,21507,0,129.128,2.93463,129.128,-2.93463,115.985,-3.0327,342.8,3.14159,115.985,3.0327,126.159,3.08174,61.7111,-2.50837,61.7111,2.50837,126.159,-3.08174,1.64549,0.321373,83.049,0.606517,210.005,0,83.049,-0.606517,1.64549,-0.321373
square,19245,0,72.7664,2.86243,72.7664,-2.86243,95.9034,-0.331172,41.5717,3.14159,95.9034,0.331172,22.1757,-0.517733,72.7663,0.496076,72.7663,-0.496076,22.1757,0.517733,37.5275,2.3324,24.2672,0.504562,21.4727,3.14159,24.2672,-0.504562,37.5275,-2.3324
square,14949,0,67.8411,-2.77188,67.8411,2.77188,92.5441,-0.244329,88.9829,3.14159,92.5441,0.244329,57.6896,2.39613,70.3504,-0.595807,70.3504,0.595807,57.6896,-2.39613,10.4084,1.81293,12.6208,2.79544,30.6877,0,12.6208,-2.79544,10.4084,-1.81293
square,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
square,18193,0,148.755,0.562208,148.755,-0.562208,117.386,-0.006385,57.2321,3.14159,117.386,0.006385,115.937,-2.8111,111.269,-2.85454,111.269,2.85454,115.937,2.8111,28.8201,1.51109,50.8534,-2.26539,214.055,0,50.8534,2.26539,28.8201,-1.51109
square,16680,0,32.2129,-1.2672,32.2129,1.2672,19.4027,0.172229,32.116,3.14159,19.4027,-0.172229,14.3852,1.88746,3.56131,-0.689884,3.56131,0.689884,14.3852,-1.88746,26.7999,-3.09357,4.48583,3.01418,4.87197,3.14159,4.48583,-3.01418,26.7999,3.09357
square,21653,0,117.51,1.54714,117.51,-1.54714,172.053,-2.14084,368.24,3.14159,172.053,2.14084,37.5642,-2.08727,57.5004,-1.3206,57.5004,1.3206,37.5642,2.08727,43.5949,-1.12974,79.1484,3.07499,209.152,0,79.1484,-3.07499,43.5949,1.12974
square,22990,0,153.4,-2.75025,153.4,2.75025,68.4383,-2.84342,145.964,3.14159,68.4383,2.84342,56.4526,-3.06283,50.9698,-2.56098,50.9698,2.56098,56.4526,3.06283,46.971,-2.4544,9.85802,-0.233768,29.3882,3.14159,9.85802,0.233768,46.971,2.4544
square,25654,0,60.9519,2.42952,60.9519,-2.42952,33.7806,-2.27338,198.453,3.14159,33.7806,2.27338,125.217,-1.07954,121.331,1.50944,121.331,-1.50944,125.217,1.07954,19.7919,2.23383,39.8524,-1.88135,88.3324,3.14159,39.8524,1.88135,19.7919,-2.23383
square,5.48613e+303,3.14159,5.48613e+303,2.49809,5.48613e+303,-2.49809,5.48613e+303,1.85459,5.48613e+303,3.14159,5.48613e+303,-1.85459,5.48613e+303,1.21109,5.48613e+303,2.49809,5.48613e+303,-2.49809,5.48613e+303,-1.21109,5.48613e+303,0.567588,5.48613e+303,1.85459,5.48613e+303,3.14159,5.48613e+303,-1.85459,5.48613e+303,-0.567588
square,14731,0,60.0482,0.226514,60.0482,-0.226514,25.1458,0.439552,33.6555,3.14159,25.1458,-0.439552,31.443,2.40526,61.9128,-2.85444,61.9128,2.85444,31.443,-2.40526,71.4952,-0.239645,52.6763,0.939892,198.036,0,52.6763,-0.939892,71.4952,0.239645
square,18420,0,27.6047,-3.11499,27.6047,3.11499,43.5838,2.15137,35.9718,3.14159,43.5838,-2.15137,81.8893,-1.40734,123.114,0.35205,123.114,-0.35205,81.8893,1.40734,87.0308,0.163859,25.3797,-1.51616,38.5238,0,25.3797,1.51616,87.0308,-0.163859
square,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
square,18925,0,23.0529,-1.95802,23.0529,1.95802,59.528,0.200823,81.405,3.14159,59.528,-0.200823,25.9048,2.9017,18.9609,-2.19502,18.9609,2.19502,25.9048,-2.9017,35.7537,-2.25367,29.9044,2.95319,16.9146,0,29.9044,-2.95319,35.7537,2.25367
square,45732,0,114.83,-3.0416,114.83,3.0416,30.651,3.13447,68.6021,3.14159,30.651,-3.13447,46.8793,-0.483743,38.8055,-0.115748,38.8055,0.115748,46.8793,0.483743,30.9861,-0.0699178,45.4767,-0.0772021,14.6008,0,45.4767,0.0772021,30.9861,0.0699178
square,15382,0,50.8483,-2.52624,50.8483,2.52624,82.1692,0.522218,224.822,3.14159,82.1692,-0.522218,42.1962,-1.46744,57.0073,-2.75624,57.0073,2.75624,42.1962,1.46744,44.0351,-2.30614,41.1405,2.79495,2.68974,3.14159,41.1405,-2.79495,44.0351,2.30614
square,22420,0,159.349,2.89426,159.349,-2.89426,16.1873,2.24589,392.663,3.14159,16.1873,-2.24589,33.3858,0.851649,55.9326,1.46683,55.9326,-1.46683,33.3858,-0.851649,73.0305,-3.01475,135.437,0.180101,80.4184,3.14159,135.437,-0.180101,73.0305,3.01475
square,13277,0,110.45,2.49201,110.45,-2.49201,98.4146,-3.02939,195.91,3.14159,98.4146,3.02939,67.906,-2.23454,69.0935,-0.316982,69.0935,0.316982,67.906,2.23454,29.3761,1.06332,70.1893,3.03151,90.4746,0,70.1893,-3.03151,29.3761,-1.06332
square,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
square,29871,0,168.433,3.12851,168.433,-3.12851,74.023,-2.76573,101.383,3.14159,74.023,2.76573,25.2859,-1.73915,20.7529,-0.602434,20.7529,0.602434,25.2859,1.73915,23.4806,-0.714542,49.8109,-0.284342,41.0158,0,49.8109,0.284342,23.4806,0.714542
square,13867,0,167.921,2.96953,167.921,-2.96953,88.448,1.34946,59.7141,3.14159,88.448,-1.34946,12.6692,1.06463,32.0644,-1.38516,32.0644,1.38516,12.6692,-1.06463,39.7016,-0.00527145,60.8174,-2.72798,74.3585,0,60.8174,2.72798,39.7016,0.00527145
square,15097,0,238.99,-0.255842,238.99,0.255842,121.155,-0.64606,323.959,3.14159,121.155,0.64606,88.1259,-2.68637,10.775,-1.52087,10.775,1.52087,88.1259,2.68637,55.8875,0.42732,97.5213,0.572744,42.3242,0,97.5213,-0.572744,55.8875,-0.42732
square,15070,0,120.265,1.05076,120.265,-1.05076,96.1359,-0.393498,236.186,3.14159,96.1359,0.393498,81.367,-3.04092,58.4305,-2.46154,58.4305,2.46154,81.367,3.04092,61.5918,1.82147,19.9162,-1.26011,65.5158,0,19.9162,1.26011,61.5918,-1.82147
square,27913,0,96.2432,1.03013,96.2432,-1.03013,93.4427,0.105506,258.122,3.14159,93.4427,-0.105506,111.847,-0.471129,61.4698,1.03059,61.4698,-1.03059,111.847,0.471129,81.696,2.80042,87.3725,0.0723984,82.1225,3.14159,87.3725,-0.0723984,81.696,-2.80042
square,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
square,5.48613e+303,3.14159,5.05531e+303,2.3205,5.05531e+303,-2.3205,4.65831e+303,1.4994,3.8305e+303,3.14159,4.65831e+303,-1.4994,4.2925e+303,0.678301,2.76688e+303,2.3205,2.76688e+303,-2.3205,4.2925e+303,-0.678301,3.95541e+303,-0.142796,1.8467e+303,1.4994,1.2687e+303,3.14159,1.8467e+303,-1.4994,3.95541e+303,0.142796
square,28927,0,244.024,-2.86029,244.024,2.86029,146.485,3.10306,362.896,3.14159,146.485,-3.10306,79.951,1.78032,67.0626,-2.44043,67.0626,2.44043,79.951,-1.78032,64.3636,2.60152,49.1013,0.240525,89.6172,3.14159,49.1013,-0.240525,64.3636,-2.60152
